Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2021,Aceh,Kab. Aceh Selatan,95,34527
2021,Aceh,Kab. Gayo Lues,40,14757
2021,Aceh,Kota Banda Aceh,249,90766
2021,Aceh,Kota Sabang,17,6142
2021,Aceh,Kota Langsa,93,33883
2021,Aceh,Kota Subulussalam,45,16529
2021,Sumatera Utara,Kab. Tapanuli Tengah,183,66645
2021,Sumatera Utara,Kab. Tapanuli Utara,128,46799
2021,Sumatera Utara,Kab. Langkat,520,189686
2021,Sumatera Utara,Kab. Karo,227,82782
2021,Sumatera Utara,Kab. Deli Serdang,1118,408130
2021,Sumatera Utara,Kab. Simalungun,519,189457
2021,Sumatera Utara,Kab. Asahan,467,170300
2021,Sumatera Utara,Kab. Toba,85,31171
2021,Sumatera Utara,Kota Medan,1767,645013
2021,Sumatera Utara,Kota Pematang Siantar,233,85052
2021,Sumatera Utara,Kota Tebing Tinggi,124,45078
2021,Sumatera Barat,Kab. Pesisir Selatan,151,55234
2021,Sumatera Barat,Kab. Tanah Datar,128,46807
2021,Sumatera Barat,Kab. Agam,215,78413
2021,Sumatera Barat,Kab. Lima Puluh Kota,154,56295
2021,Sumatera Barat,Kab. Pasaman,121,44253
2021,Sumatera Barat,Kab. Dharmasraya,103,37412
2021,Sumatera Barat,Kab. Solok Selatan,74,26988
2021,Sumatera Barat,Kota Solok,54,19663
2021,Sumatera Barat,Kota Sawahlunto,19,6844
2021,Sumatera Barat,Kota Padang Panjang,48,17519
2021,Sumatera Barat,Kota Payakumbuh,99,36063
2021,Riau,Kab. Indragiri Hilir,461,168125
2021,Riau,Kab. Siak,191,69740
2021,Riau,Kota Pekanbaru,967,353134
2021,Riau,Kota Dumai,162,59030
2021,Jambi,Kab. Merangin,199,72545
2021,Jambi,Kab. Bungo,155,56722
2021,Jambi,Kota Jambi,433,158107
2021,Sumatera Selatan,Kab. Muara Enim,232,84834
2021,Sumatera Selatan,Kab. Lahat,308,112362
2021,Sumatera Selatan,Kab. Musi Banyuasin,249,90842
2021,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,280,102228
2021,Sumatera Selatan,Kota Palembang,1180,430792
2021,Sumatera Selatan,Kota Prabumulih,97,35427
2021,Bengkulu,Kab. Seluma,107,38966
2021,Lampung,Kab. Tanggamus,246,89783
2021,Lampung,Kab. Way Kanan,192,70036
2021,Lampung,Kab. Pringsewu,163,59396
2021,Lampung,Kota Bandar Lampung,770,281129
2021,Kepulauan Bangka Belitung,Kab. Bangka,131,47635
2021,Kepulauan Bangka Belitung,Kab. Belitung,73,26533
2021,Kepulauan Bangka Belitung,Kab. Bangka Selatan,80,29247
2021,Kepulauan Bangka Belitung,Kab. Bangka Tengah,81,29627
2021,Kepulauan Bangka Belitung,Kota Pangkal Pinang,160,58399
2021,Kepulauan Riau,Kab. Bintan,56,20326
2021,Kepulauan Riau,Kab. Karimun,182,66290
2021,Kepulauan Riau,Kota Tanjung Pinang,152,55366
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6429
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,847,309298
2021,DKI Jakarta,Kota Adm. Jakarta Utara,1355,494455
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,1938,707201
2021,DKI Jakarta,Kota Adm. Jakarta Timur,2293,836961
2021,Jawa Barat,Kab. Bandung,1268,462939
2021,Jawa Barat,Kab. Garut,1120,408822
2021,Jawa Barat,Kab. Ciamis,572,208818
2021,Jawa Barat,Kab. Cirebon,1237,451550
2021,Jawa Barat,Kab. Sumedang,442,161463
2021,Jawa Barat,Kab. Indramayu,1103,402455
2021,Jawa Barat,Kota Bogor,674,245922
2021,Jawa Barat,Kota Sukabumi,180,65796
2021,Jawa Barat,Kota Bandung,1593,581280
2021,Jawa Barat,Kota Cirebon,204,74632
2021,Jawa Barat,Kota Bekasi,2376,867237
2021,Jawa Barat,Kota Depok,1314,479661
2021,Jawa Barat,Kota Cimahi,275,100289
2021,Jawa Tengah,Kab. Cilacap,944,344409
2021,Jawa Tengah,Kab. Banyumas,535,195358
2021,Jawa Tengah,Kab. Purbalingga,506,184585
2021,Jawa Tengah,Kab. Purworejo,289,105420
2021,Jawa Tengah,Kab. Wonosobo,363,132496
2021,Jawa Tengah,Kab. Magelang,682,248800
2021,Jawa Tengah,Kab. Boyolali,291,106159
2021,Jawa Tengah,Kab. Klaten,590,215459
2021,Jawa Tengah,Kab. Sukoharjo,359,131201
