Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2021,Aceh,Kab. Aceh Selatan,95,34.527
2021,Aceh,Kab. Gayo Lues,40,14.757
2021,Aceh,Kota Banda Aceh,249,90.766
2021,Aceh,Kota Sabang,17,6.142
2021,Aceh,Kota Langsa,93,33.883
2021,Aceh,Kota Subulussalam,45,16.529
2021,Sumatera Utara,Kab. Tapanuli Tengah,183,66.645
2021,Sumatera Utara,Kab. Tapanuli Utara,128,46.799
2021,Sumatera Utara,Kab. Langkat,520,189.686
2021,Sumatera Utara,Kab. Karo,227,82.782
2021,Sumatera Utara,Kab. Deli Serdang,1.118,408.130
2021,Sumatera Utara,Kab. Simalungun,519,189.457
2021,Sumatera Utara,Kab. Asahan,467,170.300
2021,Sumatera Utara,Kab. Toba,85,31.171
2021,Sumatera Utara,Kota Medan,1.767,645.013
2021,Sumatera Utara,Kota Pematang Siantar,233,85.052
2021,Sumatera Utara,Kota Tebing Tinggi,124,45.078
2021,Sumatera Barat,Kab. Pesisir Selatan,151,55.234
2021,Sumatera Barat,Kab. Tanah Datar,128,46.807
2021,Sumatera Barat,Kab. Agam,215,78.413
2021,Sumatera Barat,Kab. Lima Puluh Kota,154,56.295
2021,Sumatera Barat,Kab. Pasaman,121,44.253
2021,Sumatera Barat,Kab. Dharmasraya,103,37.412
2021,Sumatera Barat,Kab. Solok Selatan,74,26.988
2021,Sumatera Barat,Kota Solok,54,19.663
2021,Sumatera Barat,Kota Sawahlunto,19,6.844
2021,Sumatera Barat,Kota Padang Panjang,48,17.519
2021,Sumatera Barat,Kota Payakumbuh,99,36.063
2021,Riau,Kab. Indragiri Hilir,461,168.125
2021,Riau,Kab. Siak,191,69.740
2021,Riau,Kota Pekanbaru,967,353.134
2021,Riau,Kota Dumai,162,59.030
2021,Jambi,Kab. Merangin,199,72.545
2021,Jambi,Kab. Bungo,155,56.722
2021,Jambi,Kota Jambi,433,158.107
2021,Sumatera Selatan,Kab. Muara Enim,232,84.834
2021,Sumatera Selatan,Kab. Lahat,308,112.362
2021,Sumatera Selatan,Kab. Musi Banyuasin,249,90.842
2021,Sumatera Selatan,Kab. Ogan Komering Ulu Timur,280,102.228
2021,Sumatera Selatan,Kota Palembang,1.180,430.792
2021,Sumatera Selatan,Kota Prabumulih,97,35.427
2021,Bengkulu,Kab. Seluma,107,38.966
2021,Lampung,Kab. Tanggamus,246,89.783
2021,Lampung,Kab. Way Kanan,192,70.036
2021,Lampung,Kab. Pringsewu,163,59.396
2021,Lampung,Kota Bandar Lampung,770,281.129
2021,Kepulauan Bangka Belitung,Kab. Bangka,131,47.635
2021,Kepulauan Bangka Belitung,Kab. Belitung,73,26.533
2021,Kepulauan Bangka Belitung,Kab. Bangka Selatan,80,29.247
2021,Kepulauan Bangka Belitung,Kab. Bangka Tengah,81,29.627
2021,Kepulauan Bangka Belitung,Kota Pangkal Pinang,160,58.399
2021,Kepulauan Riau,Kab. Bintan,56,20.326
2021,Kepulauan Riau,Kab. Karimun,182,66.290
2021,Kepulauan Riau,Kota Tanjung Pinang,152,55.366
2021,DKI Jakarta,Kab. Adm. Kep. Seribu,18,6.429
2021,DKI Jakarta,Kota Adm. Jakarta Pusat,847,309.298
2021,DKI Jakarta,Kota Adm. Jakarta Utara,1.355,494.455
2021,DKI Jakarta,Kota Adm. Jakarta Selatan,1.938,707.201
2021,DKI Jakarta,Kota Adm. Jakarta Timur,2.293,836.961
2021,Jawa Barat,Kab. Bandung,1.268,462.939
2021,Jawa Barat,Kab. Garut,1.120,408.822
2021,Jawa Barat,Kab. Ciamis,572,208.818
2021,Jawa Barat,Kab. Cirebon,1.237,451.550
2021,Jawa Barat,Kab. Sumedang,442,161.463
2021,Jawa Barat,Kab. Indramayu,1.103,402.455
2021,Jawa Barat,Kota Bogor,674,245.922
2021,Jawa Barat,Kota Sukabumi,180,65.796
2021,Jawa Barat,Kota Bandung,1.593,581.280
2021,Jawa Barat,Kota Cirebon,204,74.632
2021,Jawa Barat,Kota Bekasi,2.376,867.237
2021,Jawa Barat,Kota Depok,1.314,479.661
2021,Jawa Barat,Kota Cimahi,275,100.289
2021,Jawa Tengah,Kab. Cilacap,944,344.409
2021,Jawa Tengah,Kab. Banyumas,535,195.358
2021,Jawa Tengah,Kab. Purbalingga,506,184.585
2021,Jawa Tengah,Kab. Purworejo,289,105.420
2021,Jawa Tengah,Kab. Wonosobo,363,132.496
